Country,Gold,Silver,Bronze,Total,Version,Timestamp
United States,40,44,42,126,7,2024-11-17 09:41:04.732318
China,40,27,24,91,7,2024-11-17 09:41:04.732318
Japan,20,12,13,45,7,2024-11-17 09:41:04.732318
Australia,18,19,16,53,7,2024-11-17 09:41:04.732318
France,16,26,22,64,7,2024-11-17 09:41:04.732318
Netherlands,15,7,12,34,7,2024-11-17 09:41:04.732318
Great Britain,14,22,29,65,7,2024-11-17 09:41:04.732318
Korea,13,9,10,32,7,2024-11-17 09:41:04.732318
Italy,12,13,15,40,7,2024-11-17 09:41:04.732318
Germany,12,13,8,33,7,2024-11-17 09:41:04.732318
New Zealand,10,7,3,20,7,2024-11-17 09:41:04.732318
Canada,9,7,11,27,7,2024-11-17 09:41:04.732318
Uzbekistan,8,2,3,13,7,2024-11-17 09:41:04.732318
Hungary,6,7,6,19,7,2024-11-17 09:41:04.732318
Spain,5,4,9,18,7,2024-11-17 09:41:04.732318
Sweden,4,4,3,11,7,2024-11-17 09:41:04.732318
Kenya,4,2,5,11,7,2024-11-17 09:41:04.732318
Norway,4,1,3,8,7,2024-11-17 09:41:04.732318
Ireland,4,0,3,7,7,2024-11-17 09:41:04.732318
Brazil,3,7,10,20,7,2024-11-17 09:41:04.732318
IR Iran,3,6,3,12,7,2024-11-17 09:41:04.732318
Ukraine,3,5,4,12,7,2024-11-17 09:41:04.732318
Romania,3,4,2,9,7,2024-11-17 09:41:04.732318
Georgia,3,3,1,7,7,2024-11-17 09:41:04.732318
Belgium,3,1,6,10,7,2024-11-17 09:41:04.732318
Bulgaria,3,1,3,7,7,2024-11-17 09:41:04.732318
Serbia,3,1,1,5,7,2024-11-17 09:41:04.732318
Czechia,3,0,2,5,7,2024-11-17 09:41:04.732318
Denmark,2,2,5,9,7,2024-11-17 09:41:04.732318
Azerbaijan,2,2,3,7,7,2024-11-17 09:41:04.732318
Croatia,2,2,3,7,7,2024-11-17 09:41:04.732318
Cuba,2,1,6,9,7,2024-11-17 09:41:04.732318
Bahrain,2,1,1,4,7,2024-11-17 09:41:04.732318
Slovenia,2,1,0,3,7,2024-11-17 09:41:04.732318
Chinese Taipei,2,0,5,7,7,2024-11-17 09:41:04.732318
Austria,2,0,3,5,7,2024-11-17 09:41:04.732318
"Hong Kong, China",2,0,2,4,7,2024-11-17 09:41:04.732318
Philippines,2,0,2,4,7,2024-11-17 09:41:04.732318
Algeria,2,0,1,3,7,2024-11-17 09:41:04.732318
Indonesia,2,0,1,3,7,2024-11-17 09:41:04.732318
Israel,1,5,1,7,7,2024-11-17 09:41:04.732318
Poland,1,4,5,10,7,2024-11-17 09:41:04.732318
Kazakhstan,1,3,3,7,7,2024-11-17 09:41:04.732318
Jamaica,1,3,2,6,7,2024-11-17 09:41:04.732318
South Africa,1,3,2,6,7,2024-11-17 09:41:04.732318
Thailand,1,3,2,6,7,2024-11-17 09:41:04.732318
Ethiopia,1,3,0,4,7,2024-11-17 09:41:04.732318
Switzerland,1,2,5,8,7,2024-11-17 09:41:04.732318
Ecuador,1,2,2,5,7,2024-11-17 09:41:04.732318
Portugal,1,2,1,4,7,2024-11-17 09:41:04.732318
Greece,1,1,6,8,7,2024-11-17 09:41:04.732318
Argentina,1,1,1,3,7,2024-11-17 09:41:04.732318
Egypt,1,1,1,3,7,2024-11-17 09:41:04.732318
Tunisia,1,1,1,3,7,2024-11-17 09:41:04.732318
Botswana,1,1,0,2,7,2024-11-17 09:41:04.732318
Chile,1,1,0,2,7,2024-11-17 09:41:04.732318
Saint Lucia,1,1,0,2,7,2024-11-17 09:41:04.732318
Uganda,1,1,0,2,7,2024-11-17 09:41:04.732318
Dominican Republic,1,0,2,3,7,2024-11-17 09:41:04.732318
Guatemala,1,0,1,2,7,2024-11-17 09:41:04.732318
Morocco,1,0,1,2,7,2024-11-17 09:41:04.732318
Dominica,1,0,0,1,7,2024-11-17 09:41:04.732318
Pakistan,1,0,0,1,7,2024-11-17 09:41:04.732318
Türkiye,0,3,5,8,7,2024-11-17 09:41:04.732318
Mexico,0,3,2,5,7,2024-11-17 09:41:04.732318
Armenia,0,3,1,4,7,2024-11-17 09:41:04.732318
Colombia,0,3,1,4,7,2024-11-17 09:41:04.732318
Kyrgyzstan,0,2,4,6,7,2024-11-17 09:41:04.732318
DPR Korea,0,2,4,6,7,2024-11-17 09:41:04.732318
Lithuania,0,2,2,4,7,2024-11-17 09:41:04.732318
India,0,1,5,6,7,2024-11-17 09:41:04.732318
Republic of Moldova,0,1,3,4,7,2024-11-17 09:41:04.732318
Kosovo,0,1,1,2,7,2024-11-17 09:41:04.732318
Cyprus,0,1,0,1,7,2024-11-17 09:41:04.732318
Fiji,0,1,0,1,7,2024-11-17 09:41:04.732318
Jordan,0,1,0,1,7,2024-11-17 09:41:04.732318
Mongolia,0,1,0,1,7,2024-11-17 09:41:04.732318
Panama,0,1,0,1,7,2024-11-17 09:41:04.732318
Tajikistan,0,0,3,3,7,2024-11-17 09:41:04.732318
Albania,0,0,2,2,7,2024-11-17 09:41:04.732318
Grenada,0,0,2,2,7,2024-11-17 09:41:04.732318
Malaysia,0,0,2,2,7,2024-11-17 09:41:04.732318
Puerto Rico,0,0,2,2,7,2024-11-17 09:41:04.732318
Côte d'Ivoire,0,0,1,1,7,2024-11-17 09:41:04.732318
Cabo Verde,0,0,1,1,7,2024-11-17 09:41:04.732318
EOR,0,0,1,1,7,2024-11-17 09:41:04.732318
Peru,0,0,1,1,7,2024-11-17 09:41:04.732318
Qatar,0,0,1,1,7,2024-11-17 09:41:04.732318
Singapore,0,0,1,1,7,2024-11-17 09:41:04.732318
Slovakia,0,0,1,1,7,2024-11-17 09:41:04.732318
Zambia,0,0,1,1,7,2024-11-17 09:41:04.732318
